"Ordem","Código","Momento","Material","Tipo","Por que usar","Primeira vitória","Material pronto","Sinal visível","Ritual","Quando bater dúvida","Quando considerar feito","Pontos de atenção"
"1","KIT-01","Comece aqui","Leia antes de abrir o armário","PDF de apoio","Faz você começar sem se perder entre arquivos, missões e vontade de mudar tudo de uma vez.","Entender a ordem de consumo e iniciar pelo primeiro material sem dúvida.","Página de apoio para decidir, preencher e seguir sem recomeçar do zero.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Ler esta página, escolher o Dia 0 e iniciar sem abrir todos os arquivos de uma vez.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"2","KIT-02","Espelho MUSA","Espelho MUSA - o que hoje apaga sua presença","Experiência guiada","Mostra por que você às vezes sai arrumada, mas ainda não se sente marcante.","Nomear o detalhe que hoje faz você se sentir arrumada, mas pouco marcante.","Página de apoio para decidir, preencher e seguir sem recomeçar do zero.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Usar junto da missão do dia, registrando ação, prazo e evidência.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"3","KIT-03","Missões de 7 dias","7 dias para ficar mais marcante com o que você já tem","Experiência guiada","Conduz uma pequena mudança por dia para criar presença sem gastar mais do que precisa.","Concluir a primeira missão e sentir que a mudança cabe na sua rotina.","Página de apoio para decidir, preencher e seguir sem recomeçar do zero.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Usar junto da missão do dia, registrando ação, prazo e evidência.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"4","KIT-04","Antes e depois","Seu antes e depois de presença","Experiência guiada","Ajuda você a enxergar o que mudou no espelho, na escolha e na sensação de entrar em um lugar.","Registrar um antes/depois simples e perceber um sinal de intenção no conjunto.","Página de apoio para decidir, preencher e seguir sem recomeçar do zero.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Usar junto da missão do dia, registrando ação, prazo e evidência.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"5","KIT-05","Plano de 7 dias","Plano de 7 dias sem compra impulsiva","PDF de apoio","Entrega o caminho principal para chegar mais perto de Sentir-se mais segura, alinhada e memorável ao entrar em uma situação real usando escolhas acessíveis..","Saber exatamente o que fazer hoje sem abrir o armário no impulso.","Tabela de 7 dias com ação, tempo estimado, evidência e ajuste.","A prova aparece quando você conclui o Dia 1 com uma decisão registrada.","Executar uma ação curta por dia e revisar a evidência antes de avançar.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"6","KIT-06","Checklist","Checklist de presença em 12 minutos","Checklist preenchível","Tira dúvida na hora de sair e evita excesso, pressa e combinação sem intenção.","Preencher a primeira linha com uma situação real e enxergar prioridade sem depender de memória.","Checklist marcável para executar sem esquecer pontos críticos.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Marcar o checklist antes de encerrar cada sessão de aplicação.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"7","KIT-07","Templates prontos","Cartões de decisão para roupa, beleza e compras","Checklist preenchível","Dá frases e campos simples para decidir o que usar, repetir, ajustar ou deixar para depois.","Preencher a primeira linha com uma situação real e enxergar prioridade sem depender de memória.","Modelos copiáveis com campos de situação, decisão, prazo e evidência.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Usar junto da missão do dia, registrando ação, prazo e evidência.","Se eu não tiver ideias, copio o modelo base e substituo apenas os campos essenciais.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"8","KIT-08","Exemplo preenchido","Exemplo realista de uma semana MUSA","Exemplo visual","Mostra como uma mulher real pode sair do quase bom para uma presença mais coerente.","Comparar o próprio preenchimento com uma amostra pronta e corrigir a rota.","Amostra preenchida com cenário realista do nicho: Mulheres urbanas que querem uma presença mais marcante sem gastar muito.","Exemplo preenchido mostra o nível de detalhe esperado e evita página em branco.","Usar junto da missão do dia, registrando ação, prazo e evidência.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"9","KIT-09","Sinal visível","Antes e depois: de arrumada para memorável","Exemplo visual","Transforma a promessa em comparação visível, sem depender de luxo ou mudança radical.","Ver a diferença entre estar apenas arrumada e parecer mais memorável.","Quadro antes/depois e miniresultado demonstrável da promessa.","Antes: esforço disperso. Depois: ação priorizada pelo método Mapa de Presença Elegante: reduzir ruído visual, coordenar sinais pessoais e criar uma assinatura repetível com cabelo, pele, roupa, perfume, acessórios e ocasião..","Usar junto da missão do dia, registrando ação, prazo e evidência.","Se eu duvidar do resultado, comparo o antes/depois sem exigir perfeição nem mudança radical.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"10","KIT-10","Biblioteca de apoio","Biblioteca MUSA de consulta rápida","Biblioteca","Reúne os materiais de consulta para quando você quiser revisar sem voltar à estaca zero.","Encontrar rapidamente o material certo sem transformar a jornada em estudo.","Página de apoio para decidir, preencher e seguir sem recomeçar do zero.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Usar junto da missão do dia, registrando ação, prazo e evidência.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"11","KIT-11","Ritual de acompanhamento","Ritual semanal para manter sua assinatura","Ritual guiado","Cria um ritmo leve para manter sua assinatura mesmo em semana corrida.","Criar um momento semanal de 15 minutos para manter sua assinatura.","Calendário de checkpoints, lembretes e revisão.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Abrir o kit no mesmo horário por 7 dias, marcar um checkpoint e registrar a próxima ação.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"12","KIT-12","Apoio para destravar","Quando bater dúvida, use este atalho","Checklist preenchível","Destrava os momentos em que você pensa que não tem roupa, tempo, dinheiro ou criatividade.","Preencher a primeira linha com uma situação real e enxergar prioridade sem depender de memória.","Perguntas rápidas e atalho para continuar mesmo quando bater dúvida.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Usar junto da missão do dia, registrando ação, prazo e evidência.","Se eu não souber por onde começar, uso o atalho de menor esforço e executo só o primeiro campo.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
"13","KIT-13","Guia de primeiros resultados","Como perceber que sua presença mudou","PDF de apoio","Ajuda você a reconhecer os sinais sutis de que sua presença ficou mais intencional.","Reconhecer pequenos sinais de mais presença sem esperar perfeição.","Roteiro para reconhecer progresso em 20 minutos, 24 horas e 7 dias.","O sinal mínimo é você conseguir apontar o que ficou mais coerente, mais leve ou mais intencional.","Usar junto da missão do dia, registrando ação, prazo e evidência.","Se houver dúvida, volte ao começo, escolha uma única missão e conclua o primeiro passo possível.","Este material cumpriu seu papel quando você consegue explicar a situação, escolher uma ação, executar o primeiro passo e apontar uma evidência de progresso.","Mantém a promessa pública do produto: Monte em 7 dias uma presença mais elegante, marcante e coerente sem depender de luxo caro, compras impulsivas ou transformação radical. | Reduz esforço de aplicação na rotina real | Entrega material pronto para usar, preencher ou revisar | Inclui prova, exemplo ou sinal visível de progresso | Não cria promessa automática nem promessa nova"
